-6.0000,3.8079,3.9438
-5.9293,3.7480,3.8731
-5.8586,3.6510,3.8024
-5.7879,3.5641,3.7317
-5.7172,3.5268,3.6610
-5.6465,3.4789,3.5903
-5.5758,3.3878,3.5196
-5.5051,3.3330,3.4488
-5.4343,3.2828,3.3781
-5.3636,3.2037,3.3074
-5.2929,3.1264,3.2367
-5.2222,3.0694,3.1660
-5.1515,3.0126,3.0953
-5.0808,2.9624,3.0246
-5.0101,2.8745,2.9539
-4.9394,2.7999,2.8832
-4.8687,2.7186,2.8125
-4.7980,2.6511,2.7418
-4.7273,2.5928,2.6711
-4.6566,2.5203,2.6004
-4.5859,2.4645,2.5297
-4.5152,2.3792,2.4590
-4.4444,2.3217,2.3882
-4.3737,2.2466,2.3175
-4.3030,2.1635,2.2468
-4.2323,2.1069,2.1761
-4.1616,2.0238,2.1054
-4.0909,1.9734,2.0347
-4.0202,1.9118,1.9640
-3.9495,1.8280,1.8933
-3.8788,1.7718,1.8226
-3.8081,1.6695,1.7519
-3.7374,1.6255,1.6812
-3.6667,1.5598,1.6105
-3.5960,1.4663,1.5398
-3.5253,1.4280,1.4691
-3.4545,1.3565,1.3983
-3.3838,1.2479,1.3276
-3.3131,1.1927,1.2569
-3.2424,1.1376,1.1862
-3.1717,1.0629,1.1155
-3.1010,1.0091,1.0448
-3.0303,0.9361,0.9741
-2.9596,0.8797,0.9034
-2.8889,0.7584,0.8327
-2.8182,0.7222,0.7620
-2.7475,0.6896,0.6913
-2.6768,0.5922,0.6206
-2.6061,0.4929,0.5499
-2.5354,0.4167,0.4792
-2.4646,0.3889,0.4084
-2.3939,0.2858,0.3377
-2.3232,0.2235,0.2670
-2.2525,0.1574,0.1963
-2.1818,0.0938,0.1256
-2.1111,0.0198,0.0549
-2.0404,-0.0622,-0.0158
-1.9697,-0.1125,-0.0865
-1.8990,-0.1868,-0.1572
-1.8283,-0.2375,-0.2279
-1.7576,-0.3251,-0.2986
-1.6869,-0.3869,-0.3693
-1.6162,-0.4630,-0.4400
-1.5455,-0.5394,-0.5107
-1.4747,-0.6210,-0.5815
-1.4040,-0.7273,-0.6522
-1.3333,-0.7711,-0.7229
-1.2626,-0.8574,-0.7936
-1.1919,-0.9447,-0.8643
-1.1212,-1.0083,-0.9350
-1.0505,-1.0967,-1.0057
-0.9798,-1.1820,-1.0764
-0.9091,-1.2590,-1.1471
-0.8384,-1.3838,-1.2178
-0.7677,-1.4897,-1.2885
-0.6970,-1.5608,-1.3592
-0.6263,-1.6910,-1.4299
-0.5556,-1.8299,-1.5006
-0.4848,-1.9575,-1.5714
-0.4141,-2.1194,-1.6421
-0.3434,-2.2901,-1.7128
-0.2727,-2.4898,-1.7835
-0.2020,-2.7133,-1.8542
-0.1313,-2.8389,-1.9249
-0.0606,-2.9943,-1.9956
0.0101,-3.0748,-2.0663
0.0808,-3.1568,-2.1370
0.1515,-3.3364,-2.2077
0.2222,-3.5379,-2.2784
0.2929,-3.6589,-2.3491
0.3636,-3.7277,-2.4198
0.4343,-3.9295,-2.4905
0.5051,-4.0518,-2.5613
0.5758,-4.2262,-2.6320
0.6465,-4.3317,-2.7027
0.7172,-4.4760,-2.7734
0.7879,-4.6037,-2.8441
0.8586,-4.7657,-2.9148
0.9293,-4.9248,-2.9855
1.0000,-5.0367,-3.0562
